uri,track,duration_ms,album,artist,played_at,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,lyrics
spotify:track:75JFxkI2RXiU7L9VXzMkle,The Scientist,309600,A Rush of Blood to the Head,Coldplay,2021-11-05T15:47:08.828Z,0.557,0.442,5,-7.224,0.0243,0.731,1.46e-05,0.11,0.213,146.277,
spotify:track:1O8d2pWtBclzuY3FctBPVa,Closer,237480,Only By The Night,Kings of Leon,2021-11-05T00:16:47.323Z,0.398,0.768,11,-4.624,0.0392,0.469,2.02e-05,0.106,0.235,108.685,"

[Verse 1]
Stranded in this spooky town
Stop lights are swaying and the phone lines are down
Floor is crackling cold
She took my heart, I think she took my soul
With the moon I run
Far from the carnage of the fiery sun

Driven by the strangle of vein
Showing no mercy, I'd do it again
Open up your eyes
You keep on crying, baby, I'll bleed you dry
Skies are blinking at me
I see a storm bubbling up from the sea

[Chorus]
And it's coming closer
And it's coming closer

[Verse 2]
You who shimmy shook my bone
Leaving me stranded all in love on my own
Do you think of me?
Where am I now? Baby, where do I sleep?
Feels so good, but I'm old
Two thousand years of chasing taking it's toll

[Chorus]
And it's coming closer
And it's coming closer
And it's coming closer
And it's coming closer

"
spotify:track:7HW5WIw7ZgZORCzUxv5gW5,Don't Go Breaking My Heart,275440,Rock Of The Westies,Elton John,2021-11-04T20:16:44.543Z,0.729,0.844,5,-8.824,0.0344,0.149,2.87e-06,0.0604,0.777,131.459,
spotify:track:38zsOOcu31XbbYj9BIPUF1,Your Song,241786,Elton John,Elton John,2021-11-04T13:58:58.399Z,0.554,0.315,3,-11.028,0.0298,0.828,5.53e-06,0.101,0.325,128.157,
spotify:track:3vkQ5DAB1qQMYO4Mr9zJN6,Gimme! Gimme! Gimme! (A Man After Midnight),292613,Voulez-Vous,ABBA,2021-11-04T12:59:29.442Z,0.749,0.491,10,-9.655,0.0403,0.02,0.00899,0.159,0.536,119.528,
spotify:track:41FCZduFUjoymvDXb6ZviB,Change,172280,Who Am I?,Pale Waves,2021-11-03T11:37:11.605Z,0.598,0.906,7,-3.435,0.0447,0.00931,3.95e-05,0.16,0.525,97.007,
spotify:track:4lMwlBtIrYootJyUTTs3SE,Taking Pictures Of You,161982,Junk Of The Heart,The Kooks,2021-11-03T11:34:23.608Z,0.66,0.522,2,-7.754,0.0323,0.196,0.0,0.356,0.524,135.825,
spotify:track:7mnnCaWiLtsbOQEExjWeHc,Icarus,234000,Sanctuary,Gengahr,2021-11-03T11:29:47.549Z,0.667,0.65,0,-8.015,0.0353,0.337,2.48e-05,0.139,0.408,125.994,
spotify:track:4ET6OmsdVH0yFYYoUwRoQI,Coming Up Short,195534,Lie Out Loud,BLOXX,2021-11-03T11:25:56.619Z,0.529,0.721,2,-4.599,0.0431,0.0047,5.79e-06,0.0568,0.593,150.99,
spotify:track:72JBTQ63HDeX6WigExi20c,We Could Start a War,213066,20-Something,Somebody's Child,2021-11-03T11:22:24.557Z,0.495,0.72,1,-3.298,0.0337,0.09,0.0,0.108,0.237,90.008,
